id,external_id,title,channel,duration_seconds,stratum_format,stratum_duration,sampling_source,v_tiene_transcripcion,v_fuente_transcripcion,v_transcripcion_auto,v_palabras_por_signo,v_tiene_puntuacion,v_cobertura_transcripcion,v_transcripcion_completa,v_tiene_metadatos,v_tiene_descripcion,v_apto_panel,ritmo_ppm,ritmo_cv,p_tramo_silencioso,palabras_por_frase,preguntas_1000w,mattr_200,p_palabras_contenido,hapax_ratio,long_media_palabra,muletillas_1000w,cifras_100w,anios_1000w,porcentajes_1000w,unidades_1000w,atribucion_1000w,conectores_1000w,matizadores_1000w,absolutos_1000w,ratio_matiz_absoluto,marcadores_estructura_1000w,capitulos_10min,tiene_indice,cta_1000w,patrocinio_1000w,anticipacion_1000w,promocional_1000w,enlaces_total,enlaces_externos,enlaces_fuente,tiene_fuentes_externas,desc_caracteres,desc_timestamps,titulo_palabras_clave,cobertura_titulo,foco_promesa,densidad_tema_100w,n_tags,titulo_p_mayusculas,titulo_exclamaciones,titulo_es_pregunta,titulo_superlativos,titulo_numero_lista,titulo_banderas,et_porcion,et_formato,et_caducidad,et_promesa,et_trazabilidad,et_navegabilidad,et_calidad_dato,et_idioma,et_categoria_yt
409,hZ8JXQyY99k,regreso despues de 3 meses xd,Danicat3345juega,390,deporte_gaming,corto,busqueda_semilla,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,0,0,0,0,55,0,3,,,,0,0.0,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,sin_transcripcion,es,Gaming
411,t7IDj9Q5iec,El juego DE LAS NALGADAS - The Good Time Garden,BaityLive,569,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,0.37,0,1,1,0,55.0,0.686,0.263,,,0.535,0.479,0.718,4.1,26.82,0.38,0.0,0.0,0.0,0.0,13.41,0.0,5.75,0.08,0.0,0.0,0,0.0,0.0,0.0,0.0,4,1,0,1,299,0,4,0.75,0.013,2.3,6,0.486,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_parcial,es,Gaming
426,njkL8crdHao,👶 ¡Cuando eramos Bebés y Usabamos Pañales!  | Toca Boca Life World,Luna Forever,571,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,1.05,1,1,1,1,156.9,0.243,0.05,,,0.6035,0.478,0.751,4.19,7.37,1.27,0.0,0.0,1.34,0.0,3.35,2.68,8.04,0.372,0.0,0.0,0,0.67,0.0,0.0,0.67,7,0,0,0,735,0,8,0.5,0.01,1.27,23,0.16,2,0,0,0,1,corto,sin_clasificar,perenne,declarativa,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Gaming
399,WyyFij-8CT8,Godzilla vs T Rex con el desafío Elige la respuesta correcta   ¿Quién es el ganador,Yah Dino Español,248,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,0.2,0,1,1,0,29.5,0.512,0.222,,,0.6721,0.508,0.868,4.43,8.2,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,615,0,6,0.167,0.631,1.64,20,0.076,0,1,0,0,0,corto,sin_clasificar,perecedero,pregunta,sin_enlaces,bloque_continuo,transcripcion_parcial,es,Gaming
407,Ky91BAnidn4,"REGALANDO 💎5,000💎A GENTE RANDOM EN ESCUADRAS DEL MUNDO EN FREE FIRE 🤣",WATZAP,514,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,234.6,0,0.91,1,1,1,1,136.9,0.438,0.056,,,0.5825,0.434,0.769,4.02,12.79,3.5,0.0,0.85,1.71,0.85,11.08,2.56,5.97,0.473,1.71,0.0,0,1.71,0.0,0.0,1.71,4,1,0,1,317,0,7,1.0,0.024,1.11,15,1.0,0,0,0,0,1,corto,sin_clasificar,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Gaming
414,QmPSa7kXuD0,☘️ COMO Conseguir CUALQUIER POKEMON EVOLUTIVO por INTERCAMBIO en POKEMON DIAMANTE BRILLANTE [FÁCIL],◓AshKetchupYT◓ ,278,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,1.02,1,1,1,1,153.7,0.357,0.1,,,0.5423,0.465,0.702,4.43,14.04,2.81,0.0,0.0,0.0,1.4,25.28,0.0,7.02,0.066,1.4,0.0,0,1.4,0.0,0.0,1.4,6,0,0,0,4452,0,9,0.875,0.046,3.23,16,0.843,0,0,0,0,1,corto,sin_clasificar,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Gaming
402,1b_Wmb9G8qc,poner cualquier vídeo de tiktok a tono de llamada,Sebastian Nossa Delgado,207,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,0.88,1,1,0,1,132.2,0.154,0.0,,,0.5092,0.434,0.717,4.47,24.12,1.1,0.0,0.0,0.0,0.0,2.19,0.0,6.58,0.071,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,6,0.667,0.024,4.61,0,0.0,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_automatica,es,Gaming
404,B1be19Z3HAI,GENTE ENOJADA EN WARZONE #4 !,Draagster,168,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,0.11,0,1,1,0,16.4,0.132,0.0,,,0.7609,0.435,0.824,3.72,43.48,2.17,0.0,0.0,0.0,0.0,21.74,0.0,21.74,0.022,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,389,0,3,0.0,,,0,1.0,1,0,0,0,2,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_parcial,es,Gaming
413,5gMXdOfKyLY,Lucia inundó el coche xd,BENIJU,135,deporte_gaming,corto,chart_canal,1,youtube_auto,1,9.2,1,1.23,1,1,0,1,184.0,0.277,0.0,9.2,24.15,0.572,0.49,0.758,3.86,45.89,0.72,0.0,0.0,0.0,0.0,14.49,2.42,12.08,0.232,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0.667,0.0,2.17,0,0.05,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_automatica,es,Gaming
417,ns_rZ0JSPsE,¿Cuál fue el momento más duro de la vida de Faustino Asprilla? Tremenda confesión,Gol Caracol,576,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,16.6,1,1.16,1,1,1,1,174.7,0.262,0.05,16.6,7.75,0.5617,0.421,0.693,3.94,6.56,2.39,0.0,0.0,5.37,0.0,8.35,0.6,12.52,0.084,0.0,8.33,1,0.0,0.0,0.0,0.0,5,0,0,0,1973,15,7,0.286,0.254,0.42,18,0.061,0,1,0,0,0,corto,conversacion_larga,perecedero,pregunta,solo_enlaces_propios,con_indice,transcripcion_automatica,es,Sports
504,9HNFkdms72M,senna quedo como que  WHAT??,Frankystar,302,deporte_gaming,corto,busqueda_semilla,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,401,0,2,,,,0,0.19,0,1,0,0,0,corto,sin_clasificar,perenne,pregunta,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Gaming
505,8QtGULun1XY,"LOS MAZOS RAMPA!!! / TRUCOS, TIPS, CONSEJOS Y MUCHO MÁS!!! Pvz Héroes/ ZackNa",ZackNa,541,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,1649.0,0,1.22,1,1,1,1,182.9,0.268,0.053,,,0.5912,0.473,0.706,4.53,16.98,2.43,0.0,0.0,1.21,0.0,20.62,1.82,3.64,0.56,1.82,12.2,1,1.21,0.0,0.0,1.21,3,0,0,0,2128,12,7,0.571,0.007,1.46,12,0.8,6,0,0,0,2,corto,sin_clasificar,perecedero,declarativa,solo_enlaces_propios,con_indice,transcripcion_automatica,es,Gaming
503,vPOat-AZXfk,Desbloquea el Viaje Rapido Permanente ! en Forza Horizon 5 ! GUIA RAPIDA,Doughty Studios,172,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,1.06,1,1,1,1,158.4,0.236,0.0,,,0.5367,0.432,0.8,4.35,8.81,1.32,0.0,0.0,2.2,0.0,0.0,0.0,4.41,0.102,0.0,0.0,0,6.61,0.0,0.0,6.61,21,0,0,0,1595,0,8,0.75,0.051,4.63,18,0.281,2,0,0,0,1,corto,sin_clasificar,perenne,declarativa,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Gaming
410,9Z5byent42I,Mientras duermes - Virlan García Tutorial requinto,Miguel Pineda,266,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,0.48,1,1,1,1,71.3,0.194,0.0,,,0.45,0.408,0.644,3.94,6.33,16.46,0.0,0.0,0.0,0.0,3.16,6.33,0.0,13.66,0.0,0.0,0,0.0,0.0,0.0,0.0,2,0,0,0,146,0,6,0.333,0.905,0.95,0,0.093,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,solo_enlaces_propios,bloque_continuo,transcripcion_automatica,es,Gaming
419,K2_ut8VNqV0,Como preparar un hand roll #chile #sushi #cocina #peru #parati,samir oficial,289,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,0.65,1,1,1,1,97.0,0.136,0.0,,,0.4992,0.546,0.679,4.63,27.84,2.36,0.0,0.0,0.0,0.0,2.14,0.0,8.57,0.055,0.0,0.0,0,2.14,0.0,0.0,2.14,0,0,0,0,13,0,8,0.5,0.006,4.5,0,0.021,0,0,0,0,0,corto,instructivo,perenne,imperativa,sin_enlaces,bloque_continuo,transcripcion_automatica,es,Gaming
396,DvZhMwhzMc0,CONSIGUE en AVAKIN LIFE cualquier ropa o accesorio GRATIS! con la OPCIÓN de CONSTRUIR,Captain Skeleton ,165,deporte_gaming,corto,busqueda_semilla,1,youtube_auto,1,,0,0.92,1,1,0,1,138.5,0.243,0.0,,,0.5225,0.43,0.716,4.18,18.37,2.36,0.0,0.0,7.87,0.0,7.87,0.0,7.87,0.06,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,9,0.556,0.031,1.84,0,0.549,1,0,0,0,2,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,transcripcion_automatica,es,Gaming
