frame_version,formato,duracion,descriptor,n_util,p33,p50,p67,min,max,fallback_global
mm-2026-08-v1,informativo,corto,ritmo_ppm,32,141.0667,154.7,171.9667,69.1,239.0,False
mm-2026-08-v1,informativo,corto,cifras_100w,32,1.51,1.64,2.48,0.19,14.57,False
mm-2026-08-v1,informativo,corto,atribucion_1000w,32,0.0,0.0,1.7567,0.0,19.11,False
mm-2026-08-v1,informativo,corto,mattr_200,32,0.5342,0.5632,0.5793,0.4375,0.6298,False
mm-2026-08-v1,informativo,corto,conectores_1000w,32,4.8933,8.34,9.8367,0.0,18.78,False
mm-2026-08-v1,informativo,corto,enlaces_externos,32,0.0,1.0,1.0,0.0,19.0,False
mm-2026-08-v1,informativo,corto,promocional_1000w,32,0.0,0.0,0.0,0.0,4.67,False
mm-2026-08-v1,informativo,corto,cobertura_titulo,32,0.5333,0.6905,0.8,0.286,1.0,False
mm-2026-08-v1,informativo,medio,ritmo_ppm,31,139.6,161.0,171.8,67.8,211.3,False
mm-2026-08-v1,informativo,medio,cifras_100w,31,1.97,2.2,2.56,0.66,7.23,False
mm-2026-08-v1,informativo,medio,atribucion_1000w,31,0.23,0.38,0.67,0.0,2.21,False
mm-2026-08-v1,informativo,medio,mattr_200,31,0.5572,0.5653,0.6,0.4408,0.676,False
mm-2026-08-v1,informativo,medio,conectores_1000w,31,6.69,8.95,10.12,0.0,20.18,False
mm-2026-08-v1,informativo,medio,enlaces_externos,31,0.0,1.0,1.0,0.0,10.0,False
mm-2026-08-v1,informativo,medio,promocional_1000w,31,0.0,0.0,0.28,0.0,2.08,False
mm-2026-08-v1,informativo,medio,cobertura_titulo,31,0.5,0.75,0.8,0.333,1.0,False
mm-2026-08-v1,informativo,largo,ritmo_ppm,33,135.6667,139.1,145.2,77.8,220.7,False
mm-2026-08-v1,informativo,largo,cifras_100w,33,1.8367,2.16,2.57,0.97,4.97,False
mm-2026-08-v1,informativo,largo,atribucion_1000w,33,0.3167,0.64,0.7967,0.0,3.63,False
mm-2026-08-v1,informativo,largo,mattr_200,33,0.5539,0.5662,0.5782,0.4309,0.6813,False
mm-2026-08-v1,informativo,largo,conectores_1000w,33,7.6033,10.08,11.6833,0.27,18.64,False
mm-2026-08-v1,informativo,largo,enlaces_externos,33,0.0,0.0,1.0,0.0,11.0,False
mm-2026-08-v1,informativo,largo,promocional_1000w,33,0.0,0.0,0.2433,0.0,2.08,False
mm-2026-08-v1,informativo,largo,cobertura_titulo,33,0.667,0.833,0.8797,0.2,1.0,False
mm-2026-08-v1,practico_personal,corto,ritmo_ppm,25,134.9,145.7,161.4,80.3,218.6,False
mm-2026-08-v1,practico_personal,corto,cifras_100w,25,1.17,2.09,2.49,0.0,6.65,False
mm-2026-08-v1,practico_personal,corto,atribucion_1000w,25,0.0,0.0,0.0,0.0,2.48,False
mm-2026-08-v1,practico_personal,corto,mattr_200,25,0.525,0.555,0.5717,0.45,0.6327,False
mm-2026-08-v1,practico_personal,corto,conectores_1000w,25,5.85,9.28,11.13,0.0,17.28,False
mm-2026-08-v1,practico_personal,corto,enlaces_externos,25,0.0,0.0,1.0,0.0,24.0,False
mm-2026-08-v1,practico_personal,corto,promocional_1000w,25,0.0,0.0,0.0,0.0,1.68,False
mm-2026-08-v1,practico_personal,corto,cobertura_titulo,25,0.429,0.5,0.667,0.167,1.0,False
mm-2026-08-v1,practico_personal,medio,ritmo_ppm,28,126.8,140.9,159.1,84.8,191.9,False
