frame_version,descriptor,tipo,ambito,n,p_ausencia,n_presentes,p25,p50,p75,p_permutacion,frac_cero
mm-2026-08-v1,ritmo_ppm,continuo,global,344,,,120.075,145.35,171.65,0.2625,0.0
mm-2026-08-v1,cifras_100w,continuo,informativo,96,,,1.5175,2.105,2.825,0.003,0.0174
mm-2026-08-v1,cifras_100w,continuo,practico_personal,81,,,1.23,1.85,2.7,0.003,0.0174
mm-2026-08-v1,cifras_100w,continuo,entretenimiento,80,,,0.9975,1.47,1.9875,0.003,0.0174
mm-2026-08-v1,cifras_100w,continuo,deporte_gaming,87,,,1.435,2.09,2.68,0.003,0.0174
mm-2026-08-v1,cifras_100w,continuo,_todos,344,,,1.32,1.835,2.62,0.003,0.0174
mm-2026-08-v1,atribucion_1000w,presencia,informativo,96,0.3333,64.0,,0.76,,0.0015,0.5116
mm-2026-08-v1,atribucion_1000w,presencia,practico_personal,81,0.6173,31.0,,0.45,,0.0015,0.5116
mm-2026-08-v1,atribucion_1000w,presencia,entretenimiento,80,0.5375,37.0,,0.56,,0.0015,0.5116
mm-2026-08-v1,atribucion_1000w,presencia,deporte_gaming,87,0.5862,36.0,,0.38,,0.0015,0.5116
mm-2026-08-v1,atribucion_1000w,presencia,_todos,344,0.5116,168.0,,0.62,,0.0015,0.5116
mm-2026-08-v1,mattr_200,continuo,global,344,,,0.5369,0.566,0.5998,0.6535,0.0
mm-2026-08-v1,conectores_1000w,continuo,global,344,,,5.6475,9.27,12.63,0.84,0.0378
mm-2026-08-v1,enlaces_externos,presencia,informativo,96,0.4792,50.0,,1.0,,0.0195,0.5378
mm-2026-08-v1,enlaces_externos,presencia,practico_personal,81,0.679,26.0,,1.0,,0.0195,0.5378
mm-2026-08-v1,enlaces_externos,presencia,entretenimiento,80,0.55,36.0,,1.0,,0.0195,0.5378
mm-2026-08-v1,enlaces_externos,presencia,deporte_gaming,87,0.4598,47.0,,2.0,,0.0195,0.5378
mm-2026-08-v1,enlaces_externos,presencia,_todos,344,0.5378,159.0,,1.0,,0.0195,0.5378
mm-2026-08-v1,promocional_1000w,presencia,informativo,96,0.6146,37.0,,0.88,,0.004,0.5523
mm-2026-08-v1,promocional_1000w,presencia,practico_personal,81,0.5926,33.0,,0.55,,0.004,0.5523
mm-2026-08-v1,promocional_1000w,presencia,entretenimiento,80,0.625,30.0,,0.455,,0.004,0.5523
mm-2026-08-v1,promocional_1000w,presencia,deporte_gaming,87,0.3793,54.0,,0.645,,0.004,0.5523
mm-2026-08-v1,promocional_1000w,presencia,_todos,344,0.5523,154.0,,0.645,,0.004,0.5523
mm-2026-08-v1,cobertura_titulo,continuo,informativo,96,,,0.5,0.75,0.9167,0.008,0.0174
mm-2026-08-v1,cobertura_titulo,continuo,practico_personal,81,,,0.429,0.667,0.833,0.008,0.0174
mm-2026-08-v1,cobertura_titulo,continuo,entretenimiento,80,,,0.3645,0.6,0.8083,0.008,0.0174
mm-2026-08-v1,cobertura_titulo,continuo,deporte_gaming,87,,,0.5,0.625,0.8,0.008,0.0174
mm-2026-08-v1,cobertura_titulo,continuo,_todos,344,,,0.5,0.667,0.839,0.008,0.0174
