id,external_id,title,channel,duration_seconds,stratum_format,stratum_duration,sampling_source,v_tiene_transcripcion,v_fuente_transcripcion,v_transcripcion_auto,v_palabras_por_signo,v_tiene_puntuacion,v_cobertura_transcripcion,v_transcripcion_completa,v_tiene_metadatos,v_tiene_descripcion,v_apto_panel,ritmo_ppm,ritmo_cv,p_tramo_silencioso,palabras_por_frase,preguntas_1000w,mattr_200,p_palabras_contenido,hapax_ratio,long_media_palabra,muletillas_1000w,cifras_100w,anios_1000w,porcentajes_1000w,unidades_1000w,atribucion_1000w,conectores_1000w,matizadores_1000w,absolutos_1000w,ratio_matiz_absoluto,marcadores_estructura_1000w,capitulos_10min,tiene_indice,cta_1000w,patrocinio_1000w,anticipacion_1000w,promocional_1000w,enlaces_total,enlaces_externos,enlaces_fuente,tiene_fuentes_externas,desc_caracteres,desc_timestamps,titulo_palabras_clave,cobertura_titulo,foco_promesa,densidad_tema_100w,n_tags,titulo_p_mayusculas,titulo_exclamaciones,titulo_es_pregunta,titulo_superlativos,titulo_numero_lista,titulo_banderas,et_porcion,et_formato,et_caducidad,et_promesa,et_trazabilidad,et_navegabilidad,et_calidad_dato,et_idioma,et_categoria_yt
21,N9ccBZlkL6g,Corea del Sur 2 - 1 Chequia | Mundial 2026 | Grupo A - Fecha 1,Unknown channel,,,,,0,ninguna,0,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,0,6,,,,0,0.194,0,0,0,0,0,desconocida,sin_clasificar,perecedero,declarativa,sin_enlaces,bloque_continuo,sin_transcripcion,es,sin_categoria
24,nb_lwU9AN0g,Estados Unidos vs Paraguay (4-1) | Resumen y goles | Highlights Copa Mundial de la FIFA 2026™,DAZN ES,206.0,deporte_gaming,corto,,1,youtube_auto,1,6.3,1,1.11,1,1,1,1,166.3,0.202,0.0,6.3,1.75,0.5306,0.574,0.801,4.35,14.01,0.88,0.0,0.0,0.0,0.0,5.25,1.75,7.01,0.3,1.75,0.0,0,0.0,0.0,0.0,0.0,12,3,0,1,1128,0,10,0.4,0.06,2.45,24,0.169,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Sports
25,6gLF7KuRLiE,LA AMENAZA RUSA ES REAL… y Europa ni siquiera tiene las armas para plantar cara - @SoloFonseca,Solo Fonseca,1364.0,informativo,medio,,1,youtube_manual,0,13.8,1,0.93,1,1,1,1,139.4,0.43,0.13,13.8,4.73,0.6645,0.505,0.806,4.73,3.47,2.75,2.84,1.58,7.26,0.63,6.31,0.95,2.53,0.479,0.63,0.0,0,0.63,0.32,0.0,0.95,4,1,0,1,1794,0,9,0.556,0.002,0.82,23,0.293,0,0,0,0,0,medio,actualidad,perecedero,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_humana,es,News & Politics
23,-SL9k1h-OFA,"""Me cuesta verme trabajando en otro lado que no sea Paren La Mano"" | Germán Beder en #Las26Del26",Canal 26,1813.0,informativo,largo,,1,youtube_auto,1,16.9,1,1.2,1,1,1,1,180.7,0.147,0.016,16.9,8.06,0.5665,0.426,0.648,4.08,36.08,2.03,0.92,0.0,3.11,0.0,13.74,1.28,15.38,0.112,0.55,0.0,0,0.0,0.0,0.37,0.0,7,1,0,1,428,0,9,0.667,0.007,0.62,17,0.113,0,0,0,0,0,largo,conversacion_larga,perecedero,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,News & Politics
76,f3NPAncHAjg,youtube video #f3NPAncHAjg,Caracol Televisión,588.0,,corto,,0,ninguna,0,,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,0,0,0,0,0,0,3,,,,0,0.227,0,0,0,0,0,corto,sin_clasificar,perenne,declarativa,sin_enlaces,bloque_continuo,sin_transcripcion,es,sin_categoria
67,LW8FlbUwixI,PUTIN PIDE NEGOCIAR LA PAZ… porque Crimea se le escapa sin que pueda hacer nada - @SoloFonseca,Solo Fonseca,1626.0,informativo,medio,,1,youtube_manual,0,12.2,1,0.93,1,1,1,1,139.3,0.392,0.109,12.2,7.95,0.6097,0.464,0.69,4.46,6.89,3.42,4.5,0.26,6.89,0.0,8.21,1.06,2.65,0.495,0.79,0.0,0,0.53,0.0,0.0,0.53,4,1,0,1,1774,0,7,0.571,0.0,1.8,23,0.333,0,0,0,0,0,medio,actualidad,perecedero,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_humana,es,News & Politics
26,pvrBDXpuMMw,SUPER TRIBUNERO MUNDIALISTA | #ParenLaMano Completo - 12/06 | VORTERIX,Vorterix,7505.0,entretenimiento,largo,,1,youtube_auto,1,6.3,1,0.92,1,1,1,1,138.0,0.281,0.02,6.3,19.24,0.5487,0.49,0.555,4.23,18.37,3.28,2.2,0.0,3.82,0.12,6.9,0.46,7.24,0.124,0.17,0.8,1,0.0,0.12,0.12,0.12,9,3,1,1,2374,10,6,0.667,0.004,0.17,30,0.712,0,0,0,0,1,muy_largo,conversacion_larga,perecedero,declarativa,con_fuentes_verificables,con_indice,transcripcion_automatica,es,Entertainment
63,Bfk4YpHg1XQ,JORNADA MUNDIALISTA CON MANU OLIVARI | #ParenLaMano Completo - 24/06 | VORTERIX,Vorterix,6616.0,entretenimiento,largo,,1,youtube_auto,1,7.7,1,1.06,1,1,1,1,158.4,0.227,0.018,7.7,13.34,0.5665,0.481,0.607,4.19,20.39,2.35,0.8,0.06,4.41,0.34,7.22,1.49,6.99,0.266,0.17,0.0,0,0.06,0.0,0.46,0.06,8,2,1,1,1790,0,7,0.571,0.012,0.08,30,0.746,0,0,0,0,1,muy_largo,conversacion_larga,perecedero,declarativa,con_fuentes_verificables,bloque_continuo,transcripcion_automatica,es,Entertainment
64,CxedzCj_aBQ,LA ECONOMÍA DE PUTIN SE DERRUMBA… su propio banco central se le está rompiendo. - @SoloFonseca,Solo Fonseca,1512.0,informativo,medio,,1,youtube_auto,1,14.9,1,1.29,1,1,1,1,193.5,0.152,0.02,14.9,5.33,0.6222,0.471,0.702,4.42,10.26,2.75,2.26,2.67,5.13,0.82,12.51,2.05,4.51,0.509,1.03,0.0,0,0.82,0.0,0.0,0.82,4,1,0,1,1967,0,8,0.5,0.026,1.09,22,0.387,0,0,0,0,0,medio,actualidad,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,News & Politics
65,YPKcb4z-8Pk,"PELEÓN, RÁCANO, ORGULLOSO Y EXCÉNTRICO. MIGUEL ÁNGEL ¿El MEJOR ARTISTA del RENACIMIENTO?",Antonio García Villarán,645.0,informativo,medio,,1,youtube_auto,1,,0,1.25,1,1,1,1,187.5,0.137,0.0,,,0.6019,0.476,0.737,4.28,20.83,1.84,0.0,0.0,2.98,0.0,20.83,0.99,9.42,0.15,0.5,0.0,0,1.49,0.5,0.5,1.98,14,7,0,1,1107,0,9,1.0,0.003,3.67,34,0.944,0,1,1,0,2,medio,divulgacion,perenne,pregunta,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Education
32,mKJSGkfG3zI,EL TRIBUNERO MUNDIALISTA EN KANSAS CITY | #ParenLaMano Completo - 16/06 | VORTERIX,Vorterix,3713.0,entretenimiento,largo,,1,youtube_auto,1,6.4,1,0.96,1,1,1,1,144.1,0.235,0.016,6.4,18.61,0.5468,0.493,0.58,4.24,20.96,2.31,1.12,0.11,4.37,0.22,7.62,1.12,6.95,0.217,0.0,0.0,0,0.0,0.22,0.22,0.22,8,2,1,1,1790,0,7,0.571,0.001,0.34,30,0.754,0,0,0,0,1,muy_largo,conversacion_larga,perecedero,declarativa,con_fuentes_verificables,bloque_continuo,transcripcion_automatica,es,Entertainment
