external_id,title,channel,formato,duracion,minutos,ritmo_ppm,pct_ritmo_ppm,est_ritmo_ppm,cifras_100w,pct_cifras_100w,est_cifras_100w,atribucion_1000w,pct_atribucion_1000w,est_atribucion_1000w,mattr_200,pct_mattr_200,est_mattr_200,conectores_1000w,pct_conectores_1000w,est_conectores_1000w,enlaces_externos,pct_enlaces_externos,est_enlaces_externos,promocional_1000w,pct_promocional_1000w,est_promocional_1000w,cobertura_titulo,pct_cobertura_titulo,est_cobertura_titulo
nb_lwU9AN0g,Estados Unidos vs Paraguay (4-1) | Resumen y goles | Highlights Copa Mundial de la FIFA 2026™,DAZN ES,deporte_gaming,corto,3.4,166.3,68.0,medido,0.88,6.0,medido,0.0,,ausente,0.5306,20.0,medido,5.25,23.0,medido,3,80.0,presente,0.0,,ausente,0.4,18.0,medido
6gLF7KuRLiE,LA AMENAZA RUSA ES REAL… y Europa ni siquiera tiene las armas para plantar cara - @SoloFonseca,Solo Fonseca,informativo,medio,22.7,139.4,42.0,medido,2.75,72.0,medido,0.63,34.0,presente,0.6645,99.0,medido,6.31,29.0,medido,1,55.0,presente,0.95,53.0,presente,0.556,30.0,medido
-SL9k1h-OFA,"""Me cuesta verme trabajando en otro lado que no sea Paren La Mano"" | Germán Beder en #Las26Del26",Canal 26,informativo,largo,30.2,180.7,82.0,medido,2.03,45.0,medido,0.0,,ausente,0.5665,50.0,medido,13.74,81.0,medido,1,55.0,presente,0.0,,ausente,0.667,43.0,medido
LW8FlbUwixI,PUTIN PIDE NEGOCIAR LA PAZ… porque Crimea se le escapa sin que pueda hacer nada - @SoloFonseca,Solo Fonseca,informativo,medio,27.1,139.3,42.0,medido,3.42,83.0,medido,0.0,,ausente,0.6097,83.0,medido,8.21,42.0,medido,1,55.0,presente,0.53,30.0,presente,0.571,31.0,medido
pvrBDXpuMMw,SUPER TRIBUNERO MUNDIALISTA | #ParenLaMano Completo - 12/06 | VORTERIX,Vorterix,entretenimiento,largo,125.1,138.0,40.0,medido,3.28,96.0,medido,0.12,1.0,presente,0.5487,33.0,medido,6.9,35.0,medido,3,77.0,presente,0.12,13.0,presente,0.667,58.0,medido
Bfk4YpHg1XQ,JORNADA MUNDIALISTA CON MANU OLIVARI | #ParenLaMano Completo - 24/06 | VORTERIX,Vorterix,entretenimiento,largo,110.3,158.4,61.0,medido,2.35,83.0,medido,0.34,34.0,presente,0.5665,50.0,medido,7.22,37.0,medido,2,74.0,presente,0.06,-1.0,presente,0.571,46.0,medido
CxedzCj_aBQ,LA ECONOMÍA DE PUTIN SE DERRUMBA… su propio banco central se le está rompiendo. - @SoloFonseca,Solo Fonseca,informativo,medio,25.2,193.5,91.0,medido,2.75,72.0,medido,0.82,51.0,presente,0.6222,90.0,medido,12.51,73.0,medido,1,55.0,presente,0.82,44.0,presente,0.5,27.0,medido
YPKcb4z-8Pk,"PELEÓN, RÁCANO, ORGULLOSO Y EXCÉNTRICO. MIGUEL ÁNGEL ¿El MEJOR ARTISTA del RENACIMIENTO?",Antonio García Villarán,informativo,medio,10.8,187.5,87.0,medido,1.84,38.0,medido,0.0,,ausente,0.6019,76.0,medido,20.83,98.0,medido,7,85.0,presente,1.98,82.0,presente,1.0,100.0,medido
mKJSGkfG3zI,EL TRIBUNERO MUNDIALISTA EN KANSAS CITY | #ParenLaMano Completo - 16/06 | VORTERIX,Vorterix,entretenimiento,largo,61.9,144.1,48.0,medido,2.31,82.0,medido,0.22,8.0,presente,0.5468,31.0,medido,7.62,38.0,medido,2,74.0,presente,0.22,34.0,presente,0.571,46.0,medido
9pwh01JuuyU,We’re Recreating a Lost Ecosystem,Planet Wild,practico_personal,medio,13.4,154.7,57.0,medido,1.49,38.0,medido,0.0,,ausente,0.6514,98.0,medido,8.17,42.0,medido,5,84.0,presente,0.48,43.0,presente,0.667,51.0,medido
2RY_r8Cn9jE,TRUMP DESTRUYE LA IMAGEN DE EEUU y el turismo le está pasando factura - @SoloFonseca,Solo Fonseca,informativo,medio,27.0,189.2,88.0,medido,2.72,72.0,medido,0.59,32.0,presente,0.6173,89.0,medido,11.36,66.0,medido,7,85.0,presente,0.98,55.0,presente,0.5,27.0,medido
lMw3D6aVPK4,"PAREN EL FÚTBOL: GOLEADORES, RIQUELME Y EL DIBU | #ParenLaMano Completo - 03/06 | VORTERIX",Vorterix,entretenimiento,largo,108.7,156.7,58.0,medido,2.77,91.0,medido,0.12,1.0,presente,0.5442,29.0,medido,10.68,61.0,medido,3,77.0,presente,0.18,31.0,presente,0.375,26.0,medido
pnaZy15W4wA,Austria vs Jordania (3-1) | Resumen y goles | Highlights Copa Mundial de la FIFA 2026™,DAZN Fútbol,deporte_gaming,corto,3.4,135.2,36.0,medido,1.95,48.0,medido,0.0,,ausente,0.61,83.0,medido,12.99,77.0,medido,1,47.0,presente,0.0,,ausente,0.333,11.0,medido
mZaAKXsolmU,CRISIS EN REINO UNIDO Starmer dimite y Farage asciende - @SoloFonseca,Solo Fonseca,informativo,medio,27.9,184.5,86.0,medido,1.71,35.0,medido,1.36,67.0,presente,0.6267,93.0,medido,11.24,66.0,medido,1,55.0,presente,1.36,75.0,presente,0.625,37.0,medido
h3nLSlxZ9g0,OTRO GIGANTE EN EUROPA: Por qué la UE duda teme la entrada de Ucrania - @SoloFonseca,Solo Fonseca,informativo,largo,30.3,188.7,88.0,medido,2.41,62.0,medido,0.35,22.0,presente,0.6168,89.0,medido,12.42,73.0,medido,10,93.0,presente,0.7,39.0,presente,0.714,45.0,medido
F8oSnscyq58,ESCÁNDALO en la BIENAL de VENECIA. La artista colgada de una campana que divide al arte,Antonio García Villarán,informativo,medio,12.0,166.5,68.0,medido,1.81,37.0,medido,0.0,,ausente,0.5594,42.0,medido,18.07,93.0,medido,4,84.0,presente,2.51,94.0,presente,0.625,37.0,medido
u2Y-cJFcoP0,ASÍ CONTROLA SÁNCHEZ LOS MEDIOS mientras sus escándalos de corrupción se acumulan - @SoloFonseca,Solo Fonseca,informativo,largo,47.4,184.0,86.0,medido,2.38,60.0,medido,1.26,61.0,presente,0.6078,80.0,medido,13.41,80.0,medido,1,55.0,presente,2.29,87.0,presente,0.75,54.0,medido
46359Btp80g,NEWTON y el MUNDO ANTES de la FÍSICA CUÁNTICA | Juan Pablo PAZ en INDUSTRIA NACIONAL,GELATINA,entretenimiento,largo,59.2,152.8,56.0,medido,2.22,80.0,medido,0.88,70.0,presente,0.5117,12.0,medido,11.61,68.0,medido,1,60.0,presente,0.0,,ausente,0.75,68.0,medido
aQwTJjLX_TA,LA TRAICIÓN DE DELCY: el chavismo entrega al Niño Guerrero - @SoloFonseca,Solo Fonseca,informativo,medio,22.3,125.6,27.0,medido,2.07,47.0,medido,0.71,42.0,presente,0.6216,90.0,medido,4.99,22.0,medido,1,55.0,presente,0.71,40.0,presente,0.714,45.0,medido
